txn_year,txn_month,txn_month_name,txn_quarter,total_transactions,unique_customers,total_units_sold,total_revenue,avg_order_value,total_returns,return_rate_pct
2024,1,Jan,1,29,26,149,1363440.5,47015.19,7,24.14
2024,2,Feb,1,47,36,223,2081538.0,44288.04,12,25.53
2024,3,Mar,1,48,35,260,3461235.0,72109.06,11,22.92
2024,4,Apr,2,32,24,148,1294454.5,40451.7,5,15.63
2024,5,May,2,45,35,283,3335847.0,74129.93,9,20.0
2024,6,Jun,2,50,36,273,2670786.5,53415.73,4,8.0
2024,7,Jul,3,41,33,233,3724515.5,90841.84,12,29.27
2024,8,Aug,3,46,41,255,3898180.0,84743.04,7,15.22
2024,9,Sep,3,39,32,234,4414197.5,113184.55,15,38.46
2024,10,Oct,4,39,28,226,1964322.5,50367.24,10,25.64
2024,11,Nov,4,40,34,238,2841020.5,71025.51,8,20.0
2024,12,Dec,4,44,39,256,2389806.0,54313.77,10,22.73
